Título,Autor,Año
Don Quijote de la Mancha,Mark Twain,2500
Matar a un ruiseñor,Suzanne Collins,1595
El señor de los anillos,Oscar Wilde,1971
El perfume,J.R.R. Tolkien,2500
,Stephen King,1758
El resplandor,,1534
Don Quijote de la Mancha,Frank Herbert,1997
Los juegos del hambre,Aldous Huxley,2004
1984,Isaac Asimov,2022
Orgullo y prejuicio,Suzanne Collins,1573
Los miserables,Mark Twain,2500
Cien años de soledad,Fiódor Dostoyevski,año desconocido
El perfume,Aldous Huxley,1953
El principito,León Tolstói,1688
La sombra del viento,C.S. Lewis,1949
Un mundo feliz,Bram Stoker,1682
Dune,James Joyce,-50
,Dante Alighieri,1781
It,Isaac Asimov,1577
El principito,Stephen King,1539
El Hobbit,Homero,año desconocido
Ulises,Harper Lee,1636
El retrato de Dorian Gray,C.S. Lewis,1819
El resplandor,León Tolstói,1502
Las crónicas de Narnia,Bram Stoker,1542
,Ray Bradbury,1953
Los juegos del hambre,,1804
El código Da Vinci,Antoine de Saint-Exupéry,1660
El retrato de Dorian Gray,Dante Alighieri,1705
El principito,Dan Brown,abc
El resplandor,Stephen King,1864
La Iliada,Oscar Wilde,1654
La sombra del viento,Patrick Süskind,-50
Fundación,Frank Herbert,1759
El señor de los anillos,Frank Herbert,1606
El resplandor,Victor Hugo,-50
Anna Karenina,Mark Twain,1616
El código Da Vinci,,1861
El Hobbit,Dan Brown,1715
Matar a un ruiseñor,Stephen King,1587
El perfume,J.R.R. Tolkien,1855
El Hobbit,,1575
Anna Karenina,James Joyce,1740
Las aventuras de Tom Sawyer,Bram Stoker,1566
Las aventuras de Tom Sawyer,C.S. Lewis,
,Mark Twain,9999
Dune,Jane Austen,1906
,Bram Stoker,1754
It,Jane Austen,1888
El perfume,Gabriel García Márquez,1877
El perfume,,1720
Fahrenheit 451,Stephen King,1662
Dune,Miguel de Cervantes,1875
El principito,Carlos Ruiz Zafón,abc
Dune,Dan Brown,1760
Las aventuras de Tom Sawyer,Carlos Ruiz Zafón,1960
Don Quijote de la Mancha,George Orwell,1943
Drácula,,1988
,Frank Herbert,1500
Matar a un ruiseñor,Jane Austen,1604
En busca del tiempo perdido,Stephen King,2005
Crimen y castigo,Bram Stoker,1601
El gran Gatsby,,2002
Dune,,1837
Orgullo y prejuicio,James Joyce,1812
Don Quijote de la Mancha,C.S. Lewis,1838
Los juegos del hambre,,
Orgullo y prejuicio,Fiódor Dostoyevski,1773
Don Quijote de la Mancha,Ray Bradbury,1661
Crimen y castigo,C.S. Lewis,1771
,Aldous Huxley,1611
1984,Marcel Proust,2003
Orgullo y prejuicio,Harper Lee,1622
El resplandor,Carlos Ruiz Zafón,9999
Orgullo y prejuicio,F. Scott Fitzgerald,-50
Los juegos del hambre,Dan Brown,1566
El señor de los anillos,Patrick Süskind,1868
Las crónicas de Narnia,J.R.R. Tolkien,1630
Las crónicas de Narnia,J.R.R. Tolkien,1872
El señor de los anillos,Mark Twain,9999
Don Quijote de la Mancha,Suzanne Collins,1820
Las aventuras de Tom Sawyer,Victor Hugo,1621
El Hobbit,Frank Herbert,1525
El perfume,,1508
El señor de los anillos,Jane Austen,1785
Las crónicas de Narnia,Marcel Proust,2500
Cien años de soledad,Bram Stoker,2006
La divina comedia,Harper Lee,1766
,Mark Twain,1692
Fundación,León Tolstói,1828
Las crónicas de Narnia,J.R.R. Tolkien,1762
Crimen y castigo,Stephen King,1829
Fahrenheit 451,Victor Hugo,1638
It,James Joyce,2013
Ulises,Stephen King,1565
